Year,Geography,Chlamydia - Cases,Chlamydia - Rate,Gonorrhea - Cases,Gonorrhea - Rate,Primary and Secondary Syphilis - Cases,Primary and Secondary Syphilis - Rate
2013,Aleutians East Borough,17,588.8,0,0,0,0
2013,Aleutians West Census Area,12,243.4,6,121.7,0,0
2013,Anchorage Municipality,"2,572","1,090.40",499,211.6,19,8.1
2013,Bethel Census Area,368,"3,002.90",107,873.1,0,0
2013,Bristol Bay Borough,2,244.8,0,0,0,0
2013,Denali Borough,5,324,1,64.8,0,0
2013,Dillingham Census Area,70,"1,916.20",11,301.1,0,0
2013,Fairbanks North Star Borough,647,817.1,122,154.1,1,1.3
2013,Haines Borough,7,323.8,2,92.5,0,0
2013,Juneau City and Borough,209,789.2,7,26.4,1,3.8
2013,Kenai Peninsula Borough,178,385.7,19,41.2,0,0
2013,Ketchikan Gateway Borough,85,762.9,3,26.9,0,0
2013,Kodiak Island Borough,46,415.4,8,72.2,0,0
2013,Lake and Peninsula Borough,15,"1,200.00",3,240,0,0
2013,Matanuska-Susitna Borough,511,706.7,50,69.2,1,1.4
2013,Nome Census Area,237,"3,393.50",106,"1,517.80",0,0
2013,North Slope Borough,170,"2,237.10",27,355.3,1,13.2
2013,Northwest Arctic Borough,185,"3,452.80",33,615.9,0,0
2013,Prince of Wales - Outer Ketchikan,0,0,0,0,0,0
2013,Sitka City and Borough,11,149.9,0,0,0,0
2013,Skagway-Hoonah-Angoon,2,76,0,0,0,0
2013,Southeast Fairbanks Census Area,13,232.4,2,35.8,0,0
2013,Valdez-Cordova Census Area,37,475.7,5,64.3,0,0
2013,Wade Hampton Census Area,186,"3,662.10",76,"1,496.40",0,0
2013,Wrangell-Petersburg Census Area,0,0,0,0,0,0
2013,Yakutat City and Borough,2,364.3,0,0,0,0
2013,Yukon-Koyukuk Census Area,70,"1,573.40",33,741.7,0,0
