Year,Geography,Chlamydia - Cases,Chlamydia - Rate,Gonorrhea - Cases,Gonorrhea - Rate,Primary and Secondary Syphilis - Cases,Primary and Secondary Syphilis - Rate
2013,Autauga County,226,517.4,53,121.3,1,2.3
2013,Baldwin County,580,373.8,126,81.2,2,1.3
2013,Barbour County,172,767.8,63,281.2,0,0
2013,Bibb County,83,446.3,24,129.1,0,0
2013,Blount County,91,196.3,7,15.1,2,4.3
2013,Bullock County,104,"1,216.50",28,327.5,0,0
2013,Butler County,154,944.6,58,355.8,2,12.3
2013,Calhoun County,792,832.1,167,175.5,3,3.2
2013,Chambers County,304,"1,087.20",82,293.3,0,0
2013,Cherokee County,58,268.5,4,18.5,0,0
2013,Chilton County,146,419.5,24,69,2,5.7
2013,Choctaw County,59,526.2,16,142.7,0,0
2013,Clarke County,191,936.8,23,112.8,0,0
2013,Clay County,67,608.5,7,63.6,0,0
2013,Cleburne County,48,398.9,0,0,0,0
2013,Coffee County,304,739.5,86,209.2,0,0
2013,Colbert County,296,662.3,61,136.5,0,0
2013,Conecuh County,75,706.4,21,197.8,0,0
2013,Coosa County,49,528.4,7,75.5,0,0
2013,Covington County,152,491.6,48,155.2,1,3.2
2013,Crenshaw County,81,715.9,19,167.9,0,0
2013,Cullman County,234,358.1,19,29.1,1,1.5
2013,Dale County,294,733.1,57,142.1,0,0
2013,Dallas County,515,"1,536.80",61,182,1,3
2013,Dekalb County,174,310.4,18,32.1,0,0
2013,Elmore County,387,593.3,120,184,1,1.5
2013,Escambia County,184,596.1,45,145.8,0,0
2013,Etowah County,724,853.7,186,219.3,3,3.5
2013,Fayette County,63,451.2,7,50.1,0,0
2013,Franklin County,98,389.1,3,11.9,0,0
2013,Geneva County,122,553.4,20,90.7,0,0
2013,Greene County,114,"1,597.10",40,560.4,0,0
2013,Hale County,191,"1,537.70",46,370.3,1,8.1
2013,Henry County,105,745.8,13,92.3,0,0
2013,Houston County,714,865.5,227,275.2,5,6.1
2013,Jackson County,128,295,13,30,0,0
2013,Jefferson County,"5,204",982,"1,909",360.2,52,9.8
2013,Lamar County,47,402.2,10,85.6,0,0
2013,Lauderdale County,350,457.7,71,92.8,0,0
2013,Lawrence County,100,363.3,13,47.2,1,3.6
2013,Lee County,755,625.9,179,148.4,5,4.1
2013,Limestone County,218,309.8,66,93.8,0,0
2013,Lowndes County,127,"1,459.40",41,471.2,0,0
2013,Macon County,249,"1,434.10",52,299.5,2,11.5
2013,Madison County,"1,795",645.7,684,246,15,5.4
2013,Marengo County,130,787.8,22,133.3,1,6.1
2013,Marion County,67,268.1,6,24,0,0
2013,Marshall County,240,320.9,29,38.8,0,0
2013,Mobile County,"3,208",974,923,280.2,28,8.5
2013,Monroe County,122,672.5,17,93.7,2,11
2013,Montgomery County,"2,981","1,625.50","1,292",704.5,23,12.5
2013,Morgan County,493,509.6,177,182.9,3,3.1
2013,Perry County,111,"1,358.30",17,208,0,0
2013,Pickens County,127,804.7,33,209.1,0,0
2013,Pike County,331,"1,197.10",88,318.3,0,0
2013,Randolph County,106,575.3,12,65.1,1,5.4
2013,Russell County,457,"1,006.90",162,356.9,1,2.2
2013,St. Clair County,219,319.6,39,56.9,0,0
2013,Shelby County,395,247.7,81,50.8,9,5.6
2013,Sumter County,181,"1,628.10",41,368.8,0,0
2013,Talladega County,532,803.2,97,146.4,3,4.5
2013,Tallapoosa County,231,684.1,34,100.7,1,3
2013,Tuscaloosa County,"1,541",943.7,312,191.1,7,4.3
2013,Walker County,318,586.5,29,53.5,4,7.4
2013,Washington County,82,594.6,21,152.3,0,0
2013,Wilcox County,164,"1,803.20",14,153.9,0,0
2013,Winston County,52,261,3,15.1,0,0
