Year,Geography,Chlamydia - Cases,Chlamydia - Rate,Gonorrhea - Cases,Gonorrhea - Rate,Primary and Secondary Syphilis - Cases,Primary and Secondary Syphilis - Rate
2013,Alameda County,"6,399",504.8,"1,828",144.2,156,12.3
2013,Alpine County,2,213,0,0,0,0
2013,Amador County,67,207.6,5,15.5,0,0
2013,Butte County,921,499.5,137,74.3,2,1.1
2013,Calaveras County,72,188.1,9,23.5,2,5.2
2013,Colusa County,21,129.8,9,55.6,0,0
2013,Contra Costa County,"4,388",506.8,879,101.5,79,9.1
2013,Del Norte County,16,68.4,0,0,0,0
2013,El Dorado County,289,193.7,39,26.1,4,2.7
2013,Fresno County,"6,335",884.9,"1,764",246.4,87,12.2
2013,Glenn County,70,323.4,5,23.1,0,0
2013,Humboldt County,384,340.7,201,178.3,3,2.7
2013,Imperial County,584,432.9,42,31.1,4,3
2013,Inyo County,78,508.6,2,13,0,0
2013,Kern County,"6,382",993.2,"1,568",244,121,18.8
2013,Kings County,532,458.5,87,75,14,12.1
2013,Lake County,156,293.7,25,47.1,6,11.3
2013,Lassen County,77,265.9,5,17.3,0,0
2013,Los Angeles County,"50,450",628.4,"12,932",161.1,"1,092",13.6
2013,Madera County,634,544.5,131,112.5,12,10.3
2013,Marin County,459,216.4,85,40.1,18,8.5
2013,Mariposa County,29,188,3,19.4,0,0
2013,Mendocino County,324,453,15,21,3,4.2
2013,Merced County,"1,067",545.9,145,74.2,16,8.2
2013,Modoc County,13,167.5,3,38.7,0,0
2013,Mono County,23,193.5,5,42.1,0,0
2013,Monterey County,"1,493",451.1,374,113,32,9.7
2013,Napa County,295,260.3,36,31.8,4,3.5
2013,Nevada County,169,201.1,20,23.8,3,3.6
2013,Orange County,"8,572",344.5,"1,449",58.2,203,8.2
2013,Placer County,796,272.5,107,36.6,15,5.1
2013,Plumas County,47,282.2,3,18,0,0
2013,Riverside County,"8,810",500.9,"1,390",79,128,7.3
2013,Sacramento County,"7,742",672.9,"2,259",196.3,116,10.1
2013,San Benito County,197,448.7,25,56.9,1,2.3
2013,San Bernardino County,"10,879",679.9,"1,867",116.7,75,4.7
2013,San Diego County,"14,471",562.1,"2,717",105.5,332,12.9
2013,San Francisco County,"5,070",692.8,"2,522",344.6,503,68.7
2013,San Joaquin County,"3,374",629.3,937,174.8,75,14
2013,San Luis Obispo County,975,417.1,61,26.1,6,2.6
2013,San Mateo County,"1,742",288.5,326,54,58,9.6
2013,Santa Barbara County,"1,863",531.9,116,33.1,22,6.3
2013,Santa Clara County,"6,468",439.5,"1,112",75.6,145,9.9
2013,Santa Cruz County,989,446.8,131,59.2,23,10.4
2013,Shasta County,575,391.7,250,170.3,1,0.7
2013,Sierra County,2,74.2,2,74.2,0,0
2013,Siskiyou County,70,190,20,54.3,3,8.1
2013,Solano County,"1,929",568.6,396,116.7,20,5.9
2013,Sonoma County,"1,439",355.2,251,62,25,6.2
2013,Stanislaus County,"1,589",395.7,540,134.5,57,14.2
2013,Sutter County,281,380.8,72,97.6,1,1.4
2013,Tehama County,186,367.8,59,116.7,1,2
2013,Trinity County,11,94.5,2,17.2,0,0
2013,Tulare County,"2,354",712.7,283,85.7,19,5.8
2013,Tuolumne County,84,179.9,17,36.4,5,10.7
2013,Ventura County,"2,492",374.8,317,47.7,19,2.9
2013,Yolo County,684,409.3,136,81.4,10,6
2013,Yuba County,221,398.5,57,102.8,0,0
