Year,Geography,Chlamydia - Cases,Chlamydia - Rate,Gonorrhea - Cases,Gonorrhea - Rate,Primary and Secondary Syphilis - Cases,Primary and Secondary Syphilis - Rate
2013,Adams County,"1,973",565.4,256,73.4,15,4.3
2013,Alamosa County,64,500,1,7.8,0,0
2013,Arapahoe County,"2,897",613.9,382,81,18,3.8
2013,Archuleta County,18,176.1,3,29.4,1,9.8
2013,Baca County,0,0,0,0,0,0
2013,Bent County,18,361.3,0,0,0,0
2013,Boulder County,752,297.1,59,23.3,3,1.2
2013,Broomfield County,166,358.2,17,36.7,1,2.2
2013,Chaffee County,22,139.6,0,0,0,0
2013,Cheyenne County,4,269,0,0,0,0
2013,Clear Creek County,9,114.9,1,12.8,1,12.8
2013,Conejos County,18,279.6,0,0,0,0
2013,Costilla County,13,425.8,0,0,0,0
2013,Crowley County,9,189,0,0,0,0
2013,Custer County,0,0,0,0,0,0
2013,Delta County,74,294.1,4,15.9,0,0
2013,Denver County,"5,324","1,036.40",981,191,89,17.3
2013,Dolores County,2,121.3,0,0,0,0
2013,Douglas County,503,223,34,15.1,3,1.3
2013,Eagle County,111,269.1,5,12.1,0,0
2013,Elbert County,28,146.3,9,47,1,5.2
2013,El Paso County,"2,584",507.9,534,105,12,2.4
2013,Fremont County,95,235.7,5,12.4,1,2.5
2013,Garfield County,169,382.8,5,11.3,0,0
2013,Gilpin County,8,170.4,1,21.3,0,0
2013,Grand County,13,109,1,8.4,0,0
2013,Gunnison County,33,252.2,1,7.6,0,0
2013,Hinsdale County,2,299,0,0,0,0
2013,Huerfano County,20,351.5,0,0,0,0
2013,Jackson County,0,0,0,0,0,0
2013,Jefferson County,"1,108",246.5,139,30.9,7,1.6
2013,Kiowa County,0,0,0,0,0,0
2013,Kit Carson County,27,411.5,4,61,0,0
2013,Lake County,17,293.1,1,17.2,0,0
2013,La Plata County,151,344.7,19,43.4,0,0
2013,Larimer County,898,349.1,58,22.5,5,1.9
2013,Las Animas County,37,296.6,4,32.1,0,0
2013,Lincoln County,10,219.2,1,21.9,0,0
2013,Logan County,66,346.4,5,26.2,0,0
2013,Mesa County,551,461.7,32,26.8,0,0
2013,Mineral County,0,0,0,0,0,0
2013,Moffat County,39,378.8,1,9.7,0,0
2013,Montezuma County,123,595.6,7,33.9,0,0
2013,Montrose County,97,294.9,3,9.1,0,0
2013,Morgan County,105,476.6,9,40.8,0,0
2013,Otero County,55,368.7,5,33.5,0,0
2013,Ouray County,1,25.4,0,0,0,0
2013,Park County,12,87.2,1,7.3,0,0
2013,Phillips County,5,143.5,1,28.7,0,0
2013,Pitkin County,26,174.8,1,6.7,0,0
2013,Prowers County,33,342.4,0,0,0,0
2013,Pueblo County,738,571.1,114,88.2,1,0.8
2013,Rio Blanco County,11,203.3,0,0,0,0
2013,Rio Grande County,52,548.2,1,10.5,0,0
2013,Routt County,47,240.5,1,5.1,0,0
2013,Saguache County,5,98.4,0,0,0,0
2013,San Juan County,0,0,0,0,0,0
2013,San Miguel County,11,173.2,0,0,0,0
2013,Sedgwick County,3,149.5,0,0,0,0
2013,Summit County,98,409.2,3,12.5,0,0
2013,Teller County,35,176.8,3,15.2,0,0
2013,Washington County,1,25.5,0,0,0,0
2013,Weld County,921,454.1,95,46.8,5,2.5
2013,Yuma County,19,240.3,0,0,0,0
